StudentID,YearLevel,School,EQID,FirstName,LastName,DateOfBirth,DateOfBirthRaw,IndigenousStatus,OtherLanguage,Sex,Class,PSI
491169629,9,21221,18356,Evelyn,Lamb,2009-08-08,2009-08-08,4,1201,2,9D,R100000235R
853010112,5,21215,60771,Georgia,Allen,2009-05-17,2009-05-17,2,1201,2,5A,R100000098S
819020519,5,21213,36591,Janet,Williams,2009-03-23,2009-03-23,4,5203,2,5B,R100000042R
675659121,3,21214,32874,Joanna,Alvarado,2009-06-11,2009-06-11,1,1201,2,3A,R100000053G
556791652,9,21221,54919,Laurene,Pavone,2009-03-07,2009-03-07,3,1201,2,9C,R100000228H
631734365,7,21220,55504,Mildred,Newby,2009-10-05,2009-10-05,2,1201,2,7F,R100000203K
755299767,5,21217,22309,Jacquelin,Winningham,2009-11-02,2009-11-02,3,1201,2,5B,R100000135S
674310219,3,21215,31292,Britney,Lachance,2009-10-05,2009-10-05,3,1201,2,3A,R100000096E
396082924,9,21215,77746,Tessie,Dearing,2009-11-04,2009-11-04,4,1201,2,9D,R100000081K
203867073,9,21221,44051,Simone,Allen,2009-03-21,2009-03-21,3,1201,2,9C,R100000233H
885381996,9,21215,76631,Jeanette,Costello,2009-05-19,2009-05-19,4,1201,2,9F,R100000088P
271624309,5,21221,26221,Teodoro,Upham,2009-06-13,2009-06-13,4,1201,1,5F,R100000231M
634017946,9,21220,28759,Agustin,Long,2009-10-27,2009-10-27,1,1201,1,9C,R100000222K
680948416,5,21214,86216,Valentina,Soto,2009-08-06,2009-08-06,4,1201,2,5B,R100000051A
396107093,3,21212,63218,June,Woodside,2009-09-10,2009-09-10,2,7100,2,3E,R100000021D
900848255,9,21221,99300,Jeffrey,Odum,2009-04-04,2009-04-04,2,1201,1,9A,R100000226M
266211914,5,21217,47789,Herbert,Wood,2009-08-14,2009-08-14,2,1201,1,5A,R100000128G
574013097,9,21218,4269,Guillermina,Bean,2009-02-15,2009-02-15,3,1201,2,9D,R100000166G
439970865,3,21215,33203,Trevor,Duncan,2009-11-08,2009-11-08,3,1201,1,3D,R100000086G
802538749,5,21217,89935,Nakia,Cosby,2009-03-13,2009-03-13,1,1201,2,5C,R100000142K
133061145,9,21218,97059,Chrystal,Pierce,2009-09-21,2009-09-21,4,1201,2,9A,R100000150A
335776714,3,21217,36718,Byron,Hall,2009-09-20,2009-09-20,4,1201,1,3D,R100000129H
888211114,9,21216,91983,Russell,Riley,2009-09-08,2009-09-08,4,1201,1,9B,R100000121S
211703575,7,21220,8319,Columbus,May,2009-09-23,2009-09-23,3,1201,1,7E,R100000206A
425987780,7,21217,72495,Genevie,Carlton,2009-04-15,2009-04-15,1,1201,2,7C,R100000140S
619018444,9,21219,62376,Leslie,Smith,2009-02-23,2009-02-23,3,1201,1,9D,R100000193A
627653130,7,21220,97270,Ernesto,Morgan,2009-08-27,2009-08-27,3,1201,1,7E,R100000207M
450912812,7,21216,53893,Peter,Fugate,2009-10-27,2009-10-27,1,1201,1,7A,R100000111P
6933898,7,21219,2987,Willian,Jaramillo,2009-07-13,2009-07-13,4,1201,1,7E,R100000198R
382707688,5,21213,90646,Aurora,Fulton,2009-08-04,2009-08-04,2,7100,2,5E,R100000035D
990752961,5,21212,20812,Judi,Dansby,2009-12-25,2009-12-25,3,1201,2,5B,R100000018R
282643161,3,21216,50221,Audrey,Poch,2009-11-26,2009-11-26,2,1201,2,3F,R100000106P
451351971,5,21221,2132,Anita,Ryans,2009-09-21,2009-09-21,2,9601,2,5E,R100000234P
383655377,5,21212,47694,Juana,Stout,2009-10-24,2009-10-24,3,1201,2,5D,R100000011H
192512270,5,21216,74449,Christoper,Stokely,2009-06-18,2009-06-18,2,1201,1,5B,R100000115D
